;href;Название;УК;Объект;Специализация;География;Валюта;Пайщики;Взнос;пВзнос;Вознаграждение;Депозитарию;Прочие;Пай;6месП;1годП;3годаП;5летП;СЧА;6месС;1годС;3годаС;5летС;кШарпа;кСортино;Волатильность;VaR;alpha;beta;R2
91;https://investfunds.ru/funds/2277/;Райффайзен - Золото ;Райффайзен Капитал;драгметаллы;Золото;США;RUB;3986;1000;1000.0;2.4;0.48;0.6;19795.22;32.03;50.52;25.81;82.73;2676999691.88;50.82;120.9;240.07;521.17;0.186;0.261;6.66;-9.16;-5.092;-0.62;44.41
92;https://investfunds.ru/funds/745/;Альфа-Капитал Ресурсы ;Альфа-Капитал;акции;Нефтегазовая промышленность;Глобальный;RUB;94436;100;100.0;3.5;0.2;0.1;4189.31;26.2;37.16;33.2;67.51;16323254439.34;7.72;13.11;517.38;1982.36;0.026;0.021;7.84;-11.94;-0.177;0.842;79.08
93;https://investfunds.ru/funds/3495/;Система Капитал - Российские акции ;Система Капитал;акции;Широкий рынок;Россия;RUB;2923;100;100.0;1.25;0.2;0.3;91.07;35.24;42.1;-16.61;1.25;99013812.42;19.18;29.26;71.88;369.62;0.027;0.021;5.0;-7.6;-0.743;0.907;80.83
94;https://investfunds.ru/funds/7647/;Ингосстрах Инфляционный ;Ингосстрах - Инвестиции;облигации;Государственные;Россия;RUB;1083;100;;0.15;0.15;0.1;122.46;4.49;6.96;;;649645461.8;17.34;19.94;;;;;;;;;
95;https://investfunds.ru/funds/6751/;БКС Облигации повышенной доходности ;Брокеркредитсервис;облигации;Высокодоходные;Россия;RUB;19615;1000;;0.99;0.16;0.2;11.63;7.49;16.88;;;363822715.14;39.04;48.11;;;;;;;;;
96;https://investfunds.ru/funds/6469/;Первая - Фонд Ответственные инвестиции ;Первая;акции;Ответственные инвестиции и устойчив;Россия;RUB;19799;1000000;;0.7;0.15;0.15;11.93;26.11;26.51;;;1207979637.78;26.09;26.42;;;;;;;;;
97;https://investfunds.ru/funds/7589/;Альфа-Капитал Золото ;Альфа-Капитал;драгметаллы;Золото;;RUB;25161;100;;0.69;0.15;0.2;128.7631;35.87;56.96;;;3197311321.93;35.22;952.77;;;;;;;;;
98;https://investfunds.ru/funds/4995/;Первая - Накопительный ;Первая;денежный;;Россия;RUB;104138;1000;1000.0;1.0;0.3;0.5;1381.25;3.51;7.25;19.14;34.15;909327206.73;104.64;180.15;-93.62;167.84;0.215;0.267;0.23;0.03;-3.933;0.002;0.17
99;https://investfunds.ru/funds/7007/;Первая - Фонд Консервативный смарт ;Первая;смешанный;;Россия;RUB;11945;1000000;;0.85;0.15;0.07;11.72;3.44;7.13;;;140610340.58;24.09;28.54;;;;;;;;;
100;https://investfunds.ru/funds/543/;Альфа-Капитал Баланс ;Альфа-Капитал;смешанный;;Россия;RUB;77331;100;100.0;2.8;0.2;0.1;3093.3;23.4;34.24;22.14;50.25;33788965272.57;17.88;16.5;112.9;1328.2;0.01;0.008;6.64;-10.18;-0.741;0.768;91.72
101;https://investfunds.ru/funds/2237/;Система Капитал - Резервный ;Система Капитал;облигации;Корпоративные;Россия;RUB;2;400000;200000.0;1.1;0.2;0.3;124.35;5.45;10.33;15.76;40.14;9828690660.43;12.86;18.07;29.32;72.82;0.073;0.072;1.09;-1.35;-3.551;0.107;23.82
102;https://investfunds.ru/funds/117/;Фонд Профессиональный ;Брокеркредитсервис;смешанный;;Россия;RUB;3589;1000;;4.0;0.7;2.0;149.09;15.57;20.68;20.24;36.47;1103322137.53;-1.77;-7.58;-15.0;174.72;0.15;0.134;3.58;-4.93;-1.091;0.698;93.07
103;https://investfunds.ru/funds/54/;Казначейский ;ВИМ Инвестиции;облигации;Все секторы;Россия;RUB;37909;5000;1000.0;1.0;0.22;0.11;76.29;4.72;4.31;7.78;29.2;30853476377.01;-18.98;-31.99;-40.47;73.37;-0.066;-0.054;3.14;-4.9;-3.933;0.209;30.15
104;https://investfunds.ru/funds/7399/;Райффайзен - Тактическая Стратегия Биржевых фондов ;Райффайзен Капитал;смешанный;;Глобальный;EUR;673;10000;;0.33;0.1;0.01;9.2;3.25;2.0;;;11632638.83;-17.14;4.71;;;;;;;;;
105;https://investfunds.ru/funds/6333/;Тинькофф Индекс МосБиржи ;Тинькофф Капитал;акции;Высокая капитализация;Россия;RUB;381299;1000;1000.0;0.7;0.05;0.04;5.5579;34.9;42.16;;;5859709037.33;63.52;87.34;;;;;;;;;
106;https://investfunds.ru/funds/7547/;Система Капитал – Неоновый ;Система Капитал;облигации;Все секторы;Глобальный;RUB;16;50;50.0;0.9;0.2;0.3;59.56;17.78;;;;217490141.91;30.26;;;;;;;;;;
107;https://investfunds.ru/funds/291/;МКБ Облигации ;МКБ Инвестиции;облигации;Все секторы;Россия;RUB;1763;1000;;1.5;0.3;0.2;6524.57;6.58;14.05;14.18;42.57;663969466.77;-16.13;-40.19;166.88;2601.09;-0.046;-0.046;1.09;-1.47;-3.775;0.079;12.92
108;https://investfunds.ru/funds/3601/;РСХБ - Лучшие отрасли ;РСХБ Управление Активами;акции;Широкий рынок;Россия;RUB;5082;5000;1000.0;3.0;0.65;0.7;2957.84;33.31;34.07;16.62;28.63;1008934486.84;40.14;50.98;88.63;3.47;0.118;0.098;4.91;-7.01;-0.431;0.869;76.99
